2025-03-20 12:41:06.507 +07 | INFO     | Line   96 (application.py): Investigation report generated.
2025-03-20 12:42:51.593 +07 | INFO     | Line   56 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
2025-03-20 12:42:51.938 +07 | INFO     | Line   75 (application.py): Query is valid: Query includes relevant investigation-related terms.
2025-03-20 12:42:55.465 +07 | INFO     | Line   87 (application.py): Retrieved 10 documents.
2025-03-20 12:43:01.195 +07 | INFO     | Line   92 (application.py): Top 5 ranked documents selected.
2025-03-20 12:43:08.978 +07 | INFO     | Line   96 (application.py): Investigation report generated.
2025-03-20 12:47:03.585 +07 | INFO     | Line   56 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
2025-03-20 12:47:04.413 +07 | INFO     | Line   75 (application.py): Query is valid: Query includes relevant investigation-related terms.
2025-03-20 12:47:07.740 +07 | INFO     | Line   87 (application.py): Retrieved 10 documents.
2025-03-20 12:47:07.740 +07 | ERROR    | Line  106 (application.py): Error processing investigation: 'function' object has no attribute 'error'
2025-03-20 12:48:39.869 +07 | INFO     | Line    6 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 12:48:40.159 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 12:48:41.782 +07 | INFO     | Line   40 (qdrant_service.py): Processed 22 document chunks.
2025-03-20 12:48:41.782 +07 | INFO     | Line   50 (qdrant_service.py): Successfully uploaded documents to Qdrant.
2025-03-20 12:48:41.783 +07 | INFO     | Line   11 (task_load_data.py): ✅ Successfully loaded 22 document chunks into Qdrant.
2025-03-20 12:55:52.655 +07 | INFO     | Line    6 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 12:55:52.951 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 12:55:54.674 +07 | INFO     | Line   40 (qdrant_service.py): Processed 22 document chunks.
2025-03-20 12:55:54.714 +07 | INFO     | Line   50 (qdrant_service.py): Successfully uploaded documents to Qdrant.
2025-03-20 12:55:54.714 +07 | INFO     | Line   11 (task_load_data.py): ✅ Successfully loaded 22 document chunks into Qdrant.
2025-03-20 12:59:29.053 +07 | INFO     | Line   56 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
2025-03-20 12:59:29.504 +07 | INFO     | Line   75 (application.py): Query is valid: Query includes relevant investigation-related terms.
2025-03-20 12:59:32.973 +07 | INFO     | Line   87 (application.py): Retrieved 10 documents.
2025-03-20 12:59:38.994 +07 | INFO     | Line   92 (application.py): Top 5 ranked documents selected.
2025-03-20 12:59:48.003 +07 | INFO     | Line   96 (application.py): Investigation report generated.
2025-03-20 13:09:35.806 +07 | INFO     | Line    6 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 13:09:36.109 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 13:09:36.109 +07 | ERROR    | Line   59 (qdrant_service.py): Error loading documents: 'Embedding' object has no attribute '_generate_chunks'
2025-03-20 13:09:36.110 +07 | ERROR    | Line   13 (task_load_data.py): ❌ Failed to load documents: 'Embedding' object has no attribute '_generate_chunks'
2025-03-20 13:10:49.069 +07 | INFO     | Line    6 (task_load_data.py): 🚀 Starting document loading process into Qdrant...
2025-03-20 13:10:49.365 +07 | INFO     | Line   32 (qdrant_service.py): Starting document loading process...
2025-03-20 13:10:50.952 +07 | INFO     | Line   40 (qdrant_service.py): Processed 22 document chunks.
2025-03-20 13:10:50.986 +07 | INFO     | Line   50 (qdrant_service.py): Successfully uploaded documents to Qdrant.
2025-03-20 13:10:50.987 +07 | INFO     | Line   11 (task_load_data.py): ✅ Successfully loaded 22 document chunks into Qdrant.
2025-03-20 13:11:12.941 +07 | INFO     | Line   56 (application.py): Received investigation query: Find transactions related to the Binance exchange hack in 2024
